month,MAU,DAU,totalWatchHours,avgWatchTimePerUserMinutes,completionRate
2022-01,18000,6000,850000,95,0.61
2022-02,18800,6200,880000,96,0.62
2022-03,19500,6500,920000,98,0.63
2022-04,20200,6600,940000,97,0.62
2022-05,21000,6800,980000,99,0.63
2022-06,21800,7000,1010000,100,0.64
2022-07,22500,7200,1050000,101,0.64
2022-08,23500,7400,1100000,103,0.65
2022-09,24200,7600,1130000,104,0.65
2022-10,25000,7800,1180000,106,0.66
2022-11,26000,8000,1210000,107,0.66
2022-12,28000,8800,1300000,110,0.68
2023-01,29000,9000,1340000,112,0.67
2023-02,30000,9200,1380000,113,0.68
2023-03,31500,9500,1440000,115,0.68
2023-04,32500,9800,1490000,116,0.69
2023-05,34000,10000,1550000,118,0.70
2023-06,35000,10400,1590000,119,0.70
2023-07,36500,10800,1650000,120,0.71
2023-08,38000,11200,1720000,122,0.72
2023-09,39500,11500,1780000,123,0.72
2023-10,41000,11800,1850000,125,0.73
2023-11,42500,12200,1900000,126,0.73
2023-12,45000,13000,2050000,128,0.75
2024-01,46500,13500,2100000,130,0.74
2024-02,48000,13800,2160000,131,0.75
2024-03,50000,14200,2240000,133,0.75
2024-04,51500,14600,2320000,135,0.76
2024-05,53000,15000,2400000,136,0.77
2024-06,55000,15500,2480000,138,0.77
2024-07,57000,16000,2570000,139,0.78
2024-08,58500,16200,2650000,140,0.78
2024-09,60000,16500,2720000,142,0.79
2024-10,62000,17000,2810000,144,0.79
2024-11,63500,17500,2890000,145,0.80
2024-12,66000,18500,3050000,148,0.82
